,caloric_af_in_pr,caloric_af_in_vl,caloric_af_ex_pr,caloric_af_ex_vl,caloric_af_in_pr2,caloric_af_in_vl2,caloric_af_ex_pr2,caloric_af_ex_vl2
Afghanistan,,,0.011964079974744751,0.06654261338604973,,,0.015985291716672904,0.05711023221266342
Albania,-0.03964682319809123,-0.04006876587629322,0.047387877733257415,0.028243300356584282,-0.03617205735286059,-0.042310006672001015,0.04264086665778237,0.03036742429064884
Algeria,-0.021875832014961676,-0.006021579644511001,-0.1854882261660056,-0.16630373099539017,-0.02558681596035235,-0.004035764750625011,-0.17760589373916916,-0.18377014237948666
Antigua and Barbuda,-0.016670113800787402,0.000768779070311065,0.008249899242904772,0.018492610232912942,-0.007181888294927108,-0.002393962764975702,0.005915044543588817,0.0201688382666128
Argentina,0.01603100644869924,0.005829258420028183,0.001177627985016161,0.004248293432430368,0.01612160248324822,0.006399034661882168,0.00027011787073519716,0.004172354517117157
Armenia,0.03387096077972371,0.06142177388204025,-0.013914812488142168,-0.03267972852065967,0.03681984547877464,0.05805335888616859,-0.015008557362866468,-0.024257713454689467
Aruba,0.027675208592080475,-0.01676595039710021,-0.02809661415256868,-0.008997991493601074,0.01834776110969482,-0.005285070681649916,-0.01579965694764581,-0.02193743269532811
Australia,0.01643661654895804,0.0055872901436996095,0.002388451007057689,0.0014059601119866354,0.019332801540106265,0.0039522353818104055,0.004750988458300293,-0.0007203847497126842
Austria,-0.00722862420114613,-0.012258267391992992,0.008142465517665544,0.003606883379099333,-0.008543664252073726,-0.010623732582695892,0.0055128678677025455,0.005636779258813399
Azerbaijan,-0.0009648009989450488,0.0009048862212233238,0.036057955216855016,0.05853272782721181,-0.006894278125196842,0.0019534477143386525,0.03489612843054665,0.05240774133105038
"Bahamas, The",-0.049502771391101125,-0.032669703939077255,0.08771024041618523,0.1247888199092596,-0.04513396734370703,-0.038292586103845325,0.12035195677541155,0.09157449870972145
Bahrain,0.033390727240451085,-0.00646187090544462,0.04798721417492339,0.03951076013491969,0.02813835723847861,-0.006817176546982414,0.06393967327246121,0.031153993217978515
Bangladesh,0.020461519471550605,-0.061684273275396904,0.011223378184076956,0.03459093296054038,-0.03535337408689628,-0.014577512235796258,0.010548508036586217,0.03422291135613699
Barbados,0.0003364622852178519,0.01859457336089128,0.05767734291962409,0.031306548265978215,0.003937216138925953,0.0152891303842852,0.0522974393814648,0.03778146972720124
Belgium,0.005237610180483503,0.008275154339484008,-0.0036601870614852102,0.007247408202258729,0.002874110757483471,0.011404448168419215,0.0006844357985813241,0.0026149213259231336
Belgium-Luxembourg,0.018617693390064367,0.016558427917328353,-0.04667296763959004,-0.06776315438757528,0.018768904077032703,0.016506723929344404,-0.0484851437306801,-0.0645334955857013
Belize,-0.0029931653703852744,0.014765856573615085,0.018009581104763327,0.024233001027148333,-0.00068410972480624,0.012515792285271436,0.019686031014460238,0.02525415919298831
Benin,-0.026052866084432035,-0.05374879709774002,-0.036218232305308275,-0.03314533139248562,-0.028531123881171034,-0.05094580212943637,-0.04189780172425231,-0.024828738872126596
Bermuda,,,0.06477766496311127,0.018048097412940122,,,0.04974233109813196,0.02503279836502096
Bhutan,,,0.05269106336917648,0.03734684361323682,,,0.04834018291081769,0.03464123113780839
Bolivia,0.0313858440570246,0.038733202577392725,0.012597335658179278,0.013432390314225284,0.03174314771046642,0.03826021717675075,0.01266108617740584,0.01555678931022332
Bosnia and Herzegovina,0.016595743102562833,-0.012258392753272918,0.005590961201426852,0.02719329439972809,-0.003972425889860646,0.0037864396439300347,0.003684710304374063,0.02440916927412414
Botswana,-0.0035146656623520033,-0.022080440643484262,-0.06922798025950279,-0.07479732402784013,-0.005114598220815745,-0.02021403873950756,-0.07878618884289651,-0.06482732934976318
Brazil,0.004023033814855844,-0.01179439048150534,-0.013993330523198384,-0.01663166749480802,0.006533293644093385,-0.011756791647035488,-0.015409189414585436,-0.014978235820764943
Brunei,,,0.25125260744483663,0.14830405736251184,,,0.2676184327023258,0.13157130895283253
Bulgaria,0.006212113390384994,-0.020421425910204266,0.02502842068122114,0.02614809422048108,0.005704585467879913,-0.022712618450947228,0.02811304728590943,0.023951516404931015
Burkina Faso,-0.020610521403541623,-0.04473516659149726,0.10831048698831292,0.04171155690619313,-0.02616205987174125,-0.03867555882986818,0.10640420859442358,0.04845475506648604
