,distance_af_in_pr,distance_af_in_vl,distance_af_ex_pr,distance_af_ex_vl,distance_af_in_pr2,distance_af_in_vl2,distance_af_ex_pr2,distance_af_ex_vl2
Afghanistan,,,0.01317222513282945,0.07249660958940031,,,0.017649301026431457,0.06222428376841348
Albania,-0.040856778101934776,-0.04285356095475331,0.05253719361931514,0.03084763559324118,-0.03656000676191506,-0.04599546899034854,0.04666771426442898,0.033659651557705374
Algeria,-0.0247196981681299,-0.006847431276881638,-0.20519943064296822,-0.17631315215478086,-0.02856951224527274,-0.004660457742881956,-0.19213787067875465,-0.20165074227844468
Antigua and Barbuda,-0.0343334857112043,-0.002902003142334096,0.008910424087067397,0.020527962936918446,-0.021519747569103298,-0.007173249189701098,0.006332008821337555,0.02241958918539997
Argentina,0.019251941761812653,0.008359721438599473,0.0014661102878831785,0.0050735320150561754,0.019789220087905946,0.00857836558346954,0.00047157081366682726,0.004985927353751674
Armenia,0.03507747628937958,0.06759046772045448,0.0028578020241644686,-0.027377619292420337,0.03871286294796061,0.06384042392609955,-0.0022028944426898795,-0.014766825668049106
Aruba,0.03000626550125044,-0.022236151412417977,-0.03045348813030377,-0.012538670031893153,0.018648159909080708,-0.007603642317345698,-0.018449570562702945,-0.025193948681430094
Australia,0.017957311382485183,0.005612414925899857,0.0025159077755286547,0.0014594123103934176,0.021167412844191463,0.0039019757598158975,0.005122415550578938,-0.000990572962490421
Austria,-0.008446457891169924,-0.013746758293946802,0.009619811952205943,0.004277294509088202,-0.00977658566800967,-0.012088687566863305,0.006402969499566404,0.006739175732827528
Azerbaijan,-0.005916972877406993,-0.003550752551753624,0.040015269130856554,0.06382117015578412,-0.013064404593613339,-0.00153821685225296,0.037486286913965924,0.057554356926043
"Bahamas, The",-0.05436108051276765,-0.03475474491822604,0.10117415436942688,0.14005559888646593,-0.0489768962248652,-0.04124392409385913,0.13877635215635703,0.10146148844080523
Bahrain,0.045554459981780315,-0.00442373565198582,0.04618798868834825,0.04306161981628133,0.03861792359640637,-0.0050577838767331025,0.06533498431428962,0.032292194357413394
Bangladesh,0.03807164342392291,-0.06317878259750986,0.013608350772097322,0.039694121026263796,-0.028515979038679296,-0.006319940222891007,0.012857190210618189,0.0393687407117945
Barbados,0.0011539392497676457,0.02288572723348855,0.053120084374406774,0.024325344029968807,0.005454295416529866,0.019204947889864793,0.04545749803682041,0.033453714140784345
Belgium,0.004538239265412754,0.007710368125815244,-0.005251366240986578,0.007080480759284559,0.0015133276122689457,0.012071105517618606,-0.00037507044214722104,0.001700425625514934
Belgium-Luxembourg,0.016076659690525907,0.014095778942426633,-0.048756647219574685,-0.07227565392127176,0.01621927172905149,0.014137512420578917,-0.05126601740562429,-0.06833567155762837
Belize,-0.0005306642416572257,0.016360583925453025,0.02015615629630769,0.022985314857548688,0.0023597895249547075,0.013760386182999561,0.02124411598340697,0.024921580982052962
Benin,-0.029930702060785873,-0.06043989414234038,-0.042021358638125006,-0.03582217860366967,-0.032303371429542586,-0.05795354353089303,-0.04774179729998178,-0.027064283837454364
Bermuda,,,0.08420577073273457,0.025913987900055533,,,0.06649855254289147,0.0346421056037673
Bhutan,,,0.05602149207438937,0.03770987125733967,,,0.050736322211976444,0.034486407696531496
Bolivia,0.035700163959799906,0.04251989533385154,0.014253893247897277,0.01382317642780292,0.03544576702490959,0.04272950239458801,0.014326157786757051,0.01678366744352666
Bosnia and Herzegovina,0.026175291994214856,-0.010412948118380366,0.006279091397964886,0.030346145366866376,0.002314511717305493,0.008759955211695621,0.003498857033147634,0.027845119486062955
